,r11,r12,r13,r21,r22,r23,r31,r32,r33,px,py,pz,gripper
68,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.007769370387882687,0.002589790129294229,0.49870510493535286,0
69,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.008106285043301596,0.0027020950144338654,0.49864895249278307,0
70,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.008452308139991755,0.0028174360466639184,0.498591281976668,0
71,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.008807533140979106,0.002935844380326369,0.4985320778098368,0
72,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.009172052413161488,0.0030573508043871623,0.4984713245978064,0
73,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.009545957230625159,0.0031819857435417195,0.49840900712822916,0
74,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.009929337777961414,0.0033097792593204715,0.49834511037033974,0
75,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.01032228315358315,0.003440761051194383,0.4982796194744028,0
76,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.010724881373041416,0.003574960457680472,0.49821251977115977,0
77,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.01113721937234203,0.0037124064574473436,0.49814379677127635,0
78,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.011559383011262126,0.0038531276704207086,0.49807343616478966,0
79,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.011991457076666722,0.003997152358888908,0.49800142382055557,0
80,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.012433525285825342,0.004144508428608447,0.49792774578569576,0
81,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.012885670289728519,0.004295223429909506,0.49785238828504524,0
82,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.013347973676404442,0.004449324558801481,0.4977753377205993,0
83,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.013820515974235472,0.00460683865807849,0.49769658067096073,0
84,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.014303376655274778,0.0047677922184249264,0.49761610389078753,0
85,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.01479663413856285,0.00493221137952095,0.49753389431023953,0
