,col1,col2,col3,col4,col5,col6
2155,-0.005943908869946893,-4.545836719588682e-09,-1.3510059469463223e-11,-3.169646340004339e-05,0.00814679905050286,-0.001748211111631336
2156,-0.005902640930065327,-4.5027372423634194e-09,-1.3289060421975606e-11,-3.255933029470625e-05,0.008090256038668088,-0.001728067820413883
2157,-0.00586160808488771,-4.460049011570343e-09,-1.307156781510839e-11,-3.3360095735112165e-05,0.008034035206907788,-0.001707978556145402
2158,-0.005820809735805292,-4.4177686708929686e-09,-1.2857531931600477e-11,-3.409172944192205e-05,0.007978135767692322,-0.0016879485373479867
2159,-0.005780245272730962,-4.3758932943828486e-09,-1.2646903911153405e-11,-3.4747137781780564e-05,0.007922556917829195,-0.001667983012914831
2160,-0.005739914074391134,-4.334417346821117e-09,-1.2439625621812135e-11,-3.531918934379888e-05,0.007867297838887488,-0.0016480872502030706
2161,-0.005699815508610087,-4.2933377358350995e-09,-1.223565164986738e-11,-3.580074064352571e-05,0.007812357697620973,-0.0016282665227306786
2162,-0.005659948932594072,-4.252649412366632e-09,-1.2034921952428866e-11,-3.6184661774785346e-05,0.007757735646393442,-0.0016085260975629682
2163,-0.005620313693205217,-4.2123502975919465e-09,-1.1837394350752713e-11,-3.646386185435586e-05,0.007703430823603377,-0.0015888712224622601
2164,-0.005580909127235053,-4.172435495065382e-09,-1.1643022739303743e-11,-3.663131408896838e-05,0.007649442354113162,-0.0015693071129007868
2165,-0.005541734561670993,-4.132902121519182e-09,-1.1451752669478711e-11,-3.66800803318344e-05,0.007595769349681646,-0.0015498389390298998
2166,-0.0055027893139622626,-4.093745745902411e-09,-1.1263538284467466e-11,-3.660333498274714e-05,0.007542410909402846,-0.0015304718127125774
2167,-0.00546407269227673,-4.05496351286959e-09,-1.107833457351802e-11,-3.6394388123133375e-05,0.007489366120150052,-0.0015112107747345012
2168,-0.005425583995755149,-4.01655121392917e-09,-1.0896094811758722e-11,-3.604670777469049e-05,0.0074366340570289225,-0.0014920607823142309
2169,-0.005387322514764792,-3.978505787825792e-09,-1.0716771611453977e-11,-3.555394120404093e-05,0.007384213783842302,-0.0014730266970348217
2170,-0.0053492875311422945,-3.940822713259689e-09,-1.0540321977342483e-11,-3.4909935204339934e-05,0.007332104353563906,-0.001454113273342796
2171,-0.005311478318439428,-3.9034995585910985e-09,-1.0366702065118134e-11,-3.4108755316472236e-05,0.007280304808829952,-0.0014353251477465182
2172,-0.005273894142158775,-3.866532578450669e-09,-1.019586642658374e-11,-3.3144703963168763e-05,0.007228814182444383,-0.0014166668288796798
2173,-0.00523653425998973,-3.8299180841067525e-09,-1.0027771467961377e-11,-3.201233751142855e-05,0.007177631497905492,-0.001398142688586366
2174,-0.005199397922037387,-3.79365275875832e-09,-9.862377890430948e-12,-3.070648229461933e-05,0.007126755769953622,-0.0013797569542111526
2175,-0.005162484371052467,-3.757733844994281e-09,-9.699642391455507e-12,-2.9222249660468198e-05,0.00707618600514714,-0.0013615137022907951
2176,-0.0051257928426501126,-3.722157107429903e-09,-9.539524004384388e-12,-2.7555050146873612e-05,0.007025921202464107,-0.001343416853862621
2177,-0.005089322565531336,-3.686920270035565e-09,-9.381984490149925e-12,-2.5700606925792597e-05,0.006975960353941829,-0.0013254701716231305
2178,-0.005053072761699859,-1.124842135691372e-09,-1.0002607645275598e-06,-2.365150521418087e-05,0.0069263024571834505,-0.001307677259200911
2179,-0.005017042646666076,-3.6322074653136193e-09,-9.111488766552834e-12,-2.14145424477587e-05,0.006876946457294839,-0.0012900415627170973
2180,-0.004981231429669593,-3.59792483427951e-09,-8.961066468380683e-12,-1.897602514560336e-05,0.006827891364489315,-0.0012725663761196098
2181,-0.004945638313869907,-3.5639679748527034e-09,-8.813065535045538e-12,-1.6336537976060646e-05,0.0067791361388326475,-0.0012552548475218829
2182,-0.004910262496555236,-3.5303337327940193e-09,-8.667448823626348e-12,-1.3493558958644826e-05,0.0067306797488061836,-0.0012381099914822162
2183,-0.00487510316933715,-3.4970190795679913e-09,-8.52417967729921e-12,-1.0444958073223182e-05,0.006682521160822641,-0.0012211347043082105
2184,-0.004840159518346424,-3.4640211957360425e-09,-8.383224456202082e-12,-7.189014001749114e-06,0.006634659340285556,-0.0012043317844399263
2185,-0.004805430724423796,-3.4313372768690744e-09,-8.244543243178719e-12,-3.7244334844037164e-06,0.00658709325274579,-0.0011877039584264053
2186,-0.004770915963307083,-3.3989634783965975e-09,-8.10809855658032e-12,-5.037417585380928e-08,0.006539821865169111,-0.0011712539133601576
2187,-0.004736614405816537,-3.3668971087991457e-09,-7.973861116364575e-12,3.833527951819505e-06,0.006492844147328693,-0.0011549843368200885
2188,-0.004702525218034751,-3.3351357835047927e-09,-7.841794219570713e-12,7.927125413674953e-06,0.006446159073337214,-0.001138897965516557
2189,-0.004668647561487175,-3.3036764111142258e-09,-7.711866320414856e-12,1.2229718745947625e-05,0.006399765623338718,-0.0011229976440475095
2190,-0.004634980593314322,-3.27251506917806e-09,-7.584034526048461e-12,1.674000703463589e-05,0.006353662785371222,-0.0011072863954015057
2191,-0.004601523466445155,-3.2416498906925193e-09,-7.458277855920727e-12,2.1456027387430867e-05,0.006307849557423695,-0.0010917675050886196
2192,-0.004568275329767154,-3.211078455612837e-09,-7.33455948117268e-12,2.6375080976599697e-05,0.006262324949700662,-0.0010764446210284105
2193,-0.004535235328289857,-3.180797179594293e-09,-7.21284531416287e-12,3.149364289897906e-05,0.006217087987105674,-0.0010613218716184758
2194,-0.004502402603308835,-3.150802952240937e-09,-7.093102681781788e-12,3.680725271189738e-05,0.006172137711955927,-0.0010464040046006876
2195,-0.004469776292567656,-3.12109355358846e-09,-6.97530527875336e-12,4.231038212967295e-05,0.006127473186924051,-0.0010316965495671016
2196,-0.004437355530411928,-3.0916668492887923e-09,-6.8594269625369835e-12,4.7996276030670285e-05,0.006083093498189562,-0.001017206006983207
2197,-0.004405139447945813,-3.0625187645317646e-09,-6.745421480554316e-12,5.385676269954982e-05,0.0060389977587654705,-0.0010029400664676104
2198,-0.0043731271731846525,-3.0336480302610763e-09,-6.633274876317734e-12,5.988202924191468e-05,0.005995185111926899,-0.0009889078566070767
2199,-0.004341317831201295,-3.0050501321399593e-09,-6.5229503916314194e-12,6.606035848231507e-05,0.005951654734621741,-0.000975120227596057
